Journal No.,Journal Date,Account,Debits,Credits,Description,Name,Location
DS0905-5168,09/05/2026,Credit Sales:Credit card - Sales to Dennys,50.72,,Tender: American Express,,5168-Catlettsburg KY
DS0905-5168,09/05/2026,Gift Card Payable,25.00,,Tender: Gift Card,,5168-Catlettsburg KY
DS0905-5168,09/05/2026,Cash on hand - Catlettsburg KY,664.22,,Tender: Cash (net),,5168-Catlettsburg KY
DS0905-5169,09/05/2026,Sales A/C,,3293.01,Net Sales,,5169-Columbus OH
DS0905-5169,09/05/2026,Tax Payable:Sales Tax Payable,,203.71,Total Sales Tax,,5169-Columbus OH
DS0905-5169,09/05/2026,Food Discount A/c,155.92,,Total Discounts,,5169-Columbus OH
DS0905-5169,09/05/2026,Food Discount A/c,,155.92,Total Discounts - Offset,,5169-Columbus OH
DS0905-5169,09/05/2026,Tips Payable,,294.26,Credit Tips Received,,5169-Columbus OH
DS0905-5169,09/05/2026,Tips Payable,410.15,,Credit Tips Paid,,5169-Columbus OH
DS0905-5169,09/05/2026,Cash Paid Outs,160.00,,Cash Paid Outs - Non Adjusting,,5169-Columbus OH
DS0905-5169,09/05/2026,Credit Sales:Doordash - Sales,383.74,,Tender: Door Dash,,5169-Columbus OH
DS0905-5169,09/05/2026,Credit Sales:Doordash - Sales,18.17,,Tender: Doordash VRB,,5169-Columbus OH
DS0905-5169,09/05/2026,Credit Sales:Doordash - Sales,63.74,,Tender: Doordash VRM,,5169-Columbus OH
DS0905-5169,09/05/2026,Credit Sales:Uber Eats - Sales,69.80,,Tender: Uber Eats,,5169-Columbus OH
DS0905-5169,09/05/2026,Credit Sales:Uber Eats - Sales,71.03,,Tender: Uber Eats VR,,5169-Columbus OH
DS0905-5169,09/05/2026,Credit Sales:Grubhub - Sales,62.03,,Tender: Grub Hub,,5169-Columbus OH
DS0905-5169,09/05/2026,Credit Sales:Grubhub - Sales,15.89,,Tender: Grubhub VRM,,5169-Columbus OH
DS0905-5169,09/05/2026,Credit Sales:QR Pay - Sales,308.04,,Tender: QR Pay,,5169-Columbus OH
DS0905-5169,09/05/2026,Credit Sales:Doordash - Sales,30.06,,Tender: Online,,5169-Columbus OH
DS0905-5169,09/05/2026,Credit Sales:Credit card - Sales to Dennys,547.73,,Tender: Master Card,,5169-Columbus OH
DS0905-5169,09/05/2026,Credit Sales:Credit card - Sales to Dennys,863.97,,Tender: Visa,,5169-Columbus OH
DS0905-5169,09/05/2026,Credit Sales:Credit card - Sales to Dennys,56.53,,Tender: Discover,,5169-Columbus OH
DS0905-5169,09/05/2026,Credit Sales:Credit card - Sales to Dennys,577.72,,Tender: Debit,,5169-Columbus OH
DS0905-5169,09/05/2026,Credit Sales:Credit card - Sales to Dennys,49.20,,Tender: American Express,,5169-Columbus OH
DS0905-5169,09/05/2026,Cash on Hand - Columbus OH,103.18,,Tender: Cash (net),,5169-Columbus OH
DS0905-7401,09/05/2026,Sales A/C,,4087.12,Net Sales,,7401-Youngstown
DS0905-7401,09/05/2026,Tax Payable:Sales Tax Payable,,157.86,Total Sales Tax,,7401-Youngstown
DS0905-7401,09/05/2026,Food Discount A/c,85.18,,Total Discounts,,7401-Youngstown
DS0905-7401,09/05/2026,Food Discount A/c,,85.18,Total Discounts - Offset,,7401-Youngstown
DS0905-7401,09/05/2026,Tips Payable,,260.93,Credit Tips Received,,7401-Youngstown
DS0905-7401,09/05/2026,Tips Payable,195.20,,Credit Tips Paid,,7401-Youngstown
DS0905-7401,09/05/2026,Credit Sales:Doordash - Sales,721.10,,Tender: Door Dash,,7401-Youngstown
DS0905-7401,09/05/2026,Credit Sales:Doordash - Sales,52.57,,Tender: Doordash Banda Burrito,,7401-Youngstown
DS0905-7401,09/05/2026,Credit Sales:Doordash - Sales,76.84,,Tender: Doordash VRM,,7401-Youngstown
DS0905-7401,09/05/2026,Credit Sales:Doordash - Sales,26.16,,Tender: Doordash Nathans,,7401-Youngstown
DS0905-7401,09/05/2026,Credit Sales:Uber Eats - Sales,23.48,,Tender: Uber Eats,,7401-Youngstown
DS0905-7401,09/05/2026,Credit Sales:Uber Eats - Sales,53.94,,Tender: Uber Eats VR,,7401-Youngstown
DS0905-7401,09/05/2026,Credit Sales:Uber Eats - Sales,61.94,,Tender: Uber Eats Nathans,,7401-Youngstown
DS0905-7401,09/05/2026,Credit Sales:Grubhub - Sales,111.46,,Tender: Grub Hub,,7401-Youngstown
DS0905-7401,09/05/2026,Credit Sales:Doordash - Sales,296.08,,Tender: Online,,7401-Youngstown
DS0905-7401,09/05/2026,Credit Sales:Credit card - Sales to Dennys,564.08,,Tender: Master Card,,7401-Youngstown
DS0905-7401,09/05/2026,Credit Sales:Credit card - Sales to Dennys,406.71,,Tender: Visa,,7401-Youngstown
DS0905-7401,09/05/2026,Credit Sales:Credit card - Sales to Dennys,157.78,,Tender: Discover,,7401-Youngstown
DS0905-7401,09/05/2026,Credit Sales:Credit card - Sales to Dennys,836.83,,Tender: Debit,,7401-Youngstown
DS0905-7401,09/05/2026,Credit Sales:Credit card - Sales to Dennys,44.26,,Tender: American Express,,7401-Youngstown
DS0905-7401,09/05/2026,Cash on Hand - Youngstown,831.23,,Tender: Cash (net),,7401-Youngstown
DS0905-7401,09/05/2026,Daily Sales Variance,46.25,,Auto-balance: source tender variance,,7401-Youngstown
DS0905-9690,09/05/2026,Sales A/C,,2268.79,Net Sales,,9690 - Marietta Rest
DS0905-9690,09/05/2026,Tax Payable:Sales Tax Payable,,147.10,Total Sales Tax,,9690 - Marietta Rest
DS0905-9690,09/05/2026,Food Discount A/c,105.44,,Total Discounts,,9690 - Marietta Rest
DS0905-9690,09/05/2026,Food Discount A/c,,105.44,Total Discounts - Offset,,9690 - Marietta Rest
DS0905-9690,09/05/2026,Tips Payable,,179.30,Credit Tips Received,,9690 - Marietta Rest
DS0905-9690,09/05/2026,Tips Payable,280.24,,Credit Tips Paid,,9690 - Marietta Rest
DS0905-9690,09/05/2026,Credit Sales:Doordash - Sales,90.66,,Tender: Door Dash,,9690 - Marietta Rest
DS0905-9690,09/05/2026,Credit Sales:Doordash - Sales,95.50,,Tender: Online,,9690 - Marietta Rest
DS0905-9690,09/05/2026,Credit Sales:Credit card - Sales to Dennys,280.95,,Tender: Master Card,,9690 - Marietta Rest
DS0905-9690,09/05/2026,Credit Sales:Credit card - Sales to Dennys,158.34,,Tender: Visa,,9690 - Marietta Rest
DS0905-9690,09/05/2026,Credit Sales:Credit card - Sales to Dennys,77.05,,Tender: Discover,,9690 - Marietta Rest
DS0905-9690,09/05/2026,Credit Sales:Credit card - Sales to Dennys,1240.90,,Tender: Debit,,9690 - Marietta Rest
DS0905-9690,09/05/2026,Gift Card Payable,110.37,,Tender: Gift Card,,9690 - Marietta Rest
DS0905-9690,09/05/2026,Cash on Hand - Marietta,261.18,,Tender: Cash (net),,9690 - Marietta Rest
DS0905-9697,09/05/2026,Sales A/C,,3865.96,Net Sales,,9697-Findley
DS0905-9697,09/05/2026,Tax Payable:Sales Tax Payable,,241.28,Total Sales Tax,,9697-Findley
DS0905-9697,09/05/2026,Food Discount A/c,65.45,,Total Discounts,,9697-Findley
DS0905-9697,09/05/2026,Food Discount A/c,,65.45,Total Discounts - Offset,,9697-Findley
DS0905-9697,09/05/2026,Tips Payable,,336.06,Credit Tips Received,,9697-Findley
DS0905-9697,09/05/2026,Tips Payable,235.73,,Credit Tips Paid,,9697-Findley
DS0905-9697,09/05/2026,Credit Sales:Doordash - Sales,311.97,,Tender: Door Dash,,9697-Findley
DS0905-9697,09/05/2026,Credit Sales:Doordash - Sales,28.37,,Tender: Doordash VRB,,9697-Findley
DS0905-9697,09/05/2026,Credit Sales:QR Pay - Sales,99.42,,Tender: QR Pay,,9697-Findley
DS0905-9697,09/05/2026,Credit Sales:Doordash - Sales,72.75,,Tender: Online,,9697-Findley
DS0905-9697,09/05/2026,Credit Sales:Credit card - Sales to Dennys,415.16,,Tender: Master Card,,9697-Findley
DS0905-9697,09/05/2026,Credit Sales:Credit card - Sales to Dennys,822.06,,Tender: Visa,,9697-Findley
DS0905-9697,09/05/2026,Credit Sales:Credit card - Sales to Dennys,102.27,,Tender: Discover,,9697-Findley
DS0905-9697,09/05/2026,Credit Sales:Credit card - Sales to Dennys,1588.73,,Tender: Debit,,9697-Findley
DS0905-9697,09/05/2026,Gift Card Payable,42.39,,Tender: Gift Card,,9697-Findley
DS0905-9697,09/05/2026,Cash on Hand - Findlay,724.45,,Tender: Cash (net),,9697-Findley
